11-17 18:32:45.162 V/AddedToChannel( 4082): VID_2016-11-17_18_32_26.mp4 dispersy_cid: ab6c688d72ea6b5d603021963a3395fb702bb408 (7a369a541716894da72917163b9d2e6a56c73de3)
11-17 18:40:08.795 V/AddedToChannel( 4082): VID_2016-11-17_18_39_25.mp4 dispersy_cid: ab6c688d72ea6b5d603021963a3395fb702bb408 (6a4db9865f259c6b9158a2462243056addfe2cb4)
11-17 18:41:29.811 V/AddedToChannel( 4082): VID_2016-11-17_18_41_13.mp4 dispersy_cid: ab6c688d72ea6b5d603021963a3395fb702bb408 (31020d449eda52590874631463b85de45a58c71e)
11-17 18:45:08.209 V/AddedToChannel( 4082): VID_2016-11-17_18_44_16.mp4 dispersy_cid: ab6c688d72ea6b5d603021963a3395fb702bb408 (35fe389f5d918c468fe66c8edbfc0dc5ea7e492b)
11-17 18:46:10.162 V/AddedToChannel( 4082): VID_2016-11-17_18_45_52.mp4 dispersy_cid: ab6c688d72ea6b5d603021963a3395fb702bb408 (1f5e58993e8ea6857069797215c32ab3592af22d)
11-17 18:49:03.256 V/AddedToChannel( 4082): VID_2016-11-17_18_47_18.mp4 dispersy_cid: ab6c688d72ea6b5d603021963a3395fb702bb408 (199e774f6e8e5de2dc32da61037199985da771e3)
11-17 19:05:40.147 V/AddedToChannel( 4082): VID_2016-11-17_19_05_26.mp4 dispersy_cid: ab6c688d72ea6b5d603021963a3395fb702bb408 (b675b98bad8fd82a715b54960d3a085b690efb6b)
11-17 19:08:38.545 V/AddedToChannel( 4082): VID_2016-11-17_19_07_23.mp4 dispersy_cid: ab6c688d72ea6b5d603021963a3395fb702bb408 (954ec598fe546ae7fc33443d69e60cc0631e51ea)
11-17 19:46:06.022 V/AddedToChannel( 5791): VID_2016-11-17_19_45_43.mp4 dispersy_cid: ab6c688d72ea6b5d603021963a3395fb702bb408 (03e533815603bceb649fce321b4efea85239883e)
11-17 19:59:25.678 V/AddedToChannel( 5791): VID_2016-11-17_19_59_02.mp4 dispersy_cid: ab6c688d72ea6b5d603021963a3395fb702bb408 (227a7c10878699b1c76c7adf16c826c00271a347)
11-17 20:02:55.865 V/AddedToChannel( 5791): VID_2016-11-17_20_02_33.mp4 dispersy_cid: ab6c688d72ea6b5d603021963a3395fb702bb408 (000d74f89de1083ab13c78fb9c5b627d9468592d)
11-17 20:07:36.381 V/AddedToChannel( 5791): VID_2016-11-17_20_07_19.mp4 dispersy_cid: ab6c688d72ea6b5d603021963a3395fb702bb408 (33b6b09ee01f694c0cec50a75fec9f42ed0bfdd3)
11-17 20:09:01.006 V/AddedToChannel( 5791): VID_2016-11-17_20_08_34.mp4 dispersy_cid: ab6c688d72ea6b5d603021963a3395fb702bb408 (8d6de0da09eda2b3ba806d47ec74f74cc8345033)
11-17 20:10:14.061 V/AddedToChannel( 5791): VID_2016-11-17_20_09_30.mp4 dispersy_cid: ab6c688d72ea6b5d603021963a3395fb702bb408 (5b3257b4c56caf5c3054da004ef8d1ee4f62e8b0)
11-17 20:10:46.061 V/AddedToChannel( 5791): VID_2016-11-17_20_10_30.mp4 dispersy_cid: ab6c688d72ea6b5d603021963a3395fb702bb408 (51fd77cad969031ff92a55f83cea1519a2238a15)
