0 0.949 08-15 09:07:12.949 17170-17261/org.tribler.android V/startSearch: pioneer
15 4.341 08-15 09:07:13.341 17170-17205/org.tribler.android V/readLine: {"type": "search_result_torrent", "event": {"query": "pioneer", "result": {"category": "xxx", "name": "Science #1", "num_leechers": 0, "last_tracker_check": 0, "num_seeders": 0, "infohash": "d1076701860d4c6f05804660abf4c46b3908ddd8", "id": -1, "size": 624868881}}}
16 4.343 08-15 09:07:13.343 17170-17205/org.tribler.android V/readLine: {"type": "search_result_torrent", "event": {"query": "pioneer", "result": {"category": "xxx", "name": "Jack The Giant Slayer (2013) 720p MKV x264 DTS BDRip SilverTorrentHD", "num_leechers": 0, "last_tracker_check": 0, "num_seeders": 0, "infohash": "fc7599a24ef5c8f14efe58398f5ef47f74645387", "id": -1, "size": 6200219903}}}
17 4.344 08-15 09:07:13.344 17170-17205/org.tribler.android V/readLine: {"type": "search_result_torrent", "event": {"query": "pioneer", "result": {"category": "other", "name": "Pioneer.2013.BRRip.720p.x264.AAC-PRiSTiNE.mp4", "num_leechers": 0, "last_tracker_check": 0, "num_seeders": 0, "infohash": "dbfd0fc35435134442226559cd4aa23a34c5946c", "id": -1, "size": 737332073}}}
18 4.344 08-15 09:07:13.344 17170-17205/org.tribler.android V/readLine: {"type": "search_result_torrent", "event": {"query": "pioneer", "result": {"category": "Video", "name": "Pioneer.2013.Norwegian.SWESUB.xvid.ac3-314r", "num_leechers": 0, "last_tracker_check": 0, "num_seeders": 0, "infohash": "d5c09d19df6eaa95d268c3fd52fac4b5734dc32e", "id": -1, "size": 1468977529}}}
19 4.345 08-15 09:07:13.345 17170-17205/org.tribler.android V/readLine: {"type": "search_result_torrent", "event": {"query": "pioneer", "result": {"category": "xxx", "name": "Health, Food & Cookbooks", "num_leechers": 0, "last_tracker_check": 0, "num_seeders": 0, "infohash": "50fa59140f1fc560a9c1f522fa9a9765e1eb515a", "id": -1, "size": 4548770353}}}
20 4.346 08-15 09:07:13.346 17170-17205/org.tribler.android V/readLine: {"type": "search_result_torrent", "event": {"query": "pioneer", "result": {"category": "Video", "name": "Pioneer One", "num_leechers": 0, "last_tracker_check": 0, "num_seeders": 0, "infohash": "024200c22a51ab714649b3abc5394507e7be51e2", "id": -1, "size": 2917609159}}}
20 13.229 08-15 09:07:25.229 17170-17205/org.tribler.android V/readLine: {"type": "search_result_torrent", "event": {"query": "pioneer", "result": {"category": "Video", "name": "Pioneer.One.S01E03.Xvid-VODO", "num_leechers": 0, "last_tracker_check": 0, "num_seeders": 0, "infohash": "ddceab34ac388ca56b0cdbc6eb726ca1844233c5", "id": -1, "size": 402477447}}}
22 13.232 08-15 09:07:25.232 17170-17205/org.tribler.android V/readLine: {"type": "search_result_torrent", "event": {"query": "pioneer", "result": {"category": "Audio", "name": "Foreigner - Studio Discography  1977 - 1991 (Original  Japan & West Germany 1st Press )", "num_leechers": 0, "last_tracker_check": 0, "num_seeders": 0, "infohash": "f89ead02aa9534552cfa748e912fb63f42a6fb6c", "id": -1, "size": 2798298458}}}
23 13.234 08-15 09:07:25.234 17170-17205/org.tribler.android V/readLine: {"type": "search_result_torrent", "event": {"query": "pioneer", "result": {"category": "xxx", "name": "Star Blazers Seasons 1-2-3 Complete", "num_leechers": 0, "last_tracker_check": 0, "num_seeders": 0, "infohash": "14deadbbdf9e6ac8fa1b36ffc481197bc0ff943a", "id": -1, "size": 19583696751}}}
24 13.236 08-15 09:07:25.236 17170-17205/org.tribler.android V/readLine: {"type": "search_result_torrent", "event": {"query": "pioneer", "result": {"category": "xxx", "name": "[wWw.GloDLS.to] - MP3 NEW RELEASES 2014 WEEK 51 - [GloDLS]", "num_leechers": 0, "last_tracker_check": 0, "num_seeders": 0, "infohash": "d2ffd6fe21b296197ee6b9feb056d991f1cd23ee", "id": -1, "size": 4132662759}}}
