annotation start end
1_test_download_torrent_from_file 1480971612.29 1480971613.36
2_test_download_torrent_from_url 1480971614.5 1480971615.57
3_test_seeding 1480971616.73 1480971619.91
4_test_create_votecast 1480971620.9 1480971620.98
5_test_unload_preview 1480971621.15 1480971621.21
6_test_local_stats 1480971621.57 1480971642.36
7_test_stats_messages 1480971642.83 1480971648.28
8_test_create_db 1480971648.48 1480971648.49
9_test_dict_inc_bartercast 1480971648.71 1480971648.72
10_test_get_top_n_bartercast_statistics 1480971648.93 1480971648.94
11_test_load_persist 1480971649.16 1480971649.18
12_test_log_interaction 1480971649.4 1480971649.42
13_test_should_persist 1480971649.64 1480971649.65
14_test_block_values 1480971649.87 1480971652.45
15_test_block_values_after_request 1480971652.49 1480971655.02
16_test_crawl_batch 1480971655.14 1480971659.69
17_test_crawler_no_block 1480971659.76 1480971662.8
18_test_crawler_on_introduction_received 1480971662.97 1480971665.64
19_test_get_next_total_no_block 1480971665.8 1480971668.41
20_test_get_next_total_with_block 1480971668.43 1480971669.87
21_test_get_statistics_no_blocks 1480971670.04 1480971671.47
22_test_get_statistics_with_previous_block 1480971671.69 1480971674.33
23_test_on_tunnel_remove_NoneType 1480971674.5 1480971677.17
24_test_on_tunnel_remove_circuit 1480971677.34 1480971680.64
25_test_on_tunnel_remove_exit 1480971680.76 1480971683.87
26_test_on_tunnel_remove_relay 1480971683.98 1480971686.99
27_test_publish_signature_request_message 1480971687.0 1480971689.71
28_test_receive_signature_request_and_response 1480971689.83 1480971692.41
29_test_request_block_halfsigned 1480971692.45 1480971696.46
30_test_request_block_known 1480971696.47 1480971700.38
31_test_request_block_latest 1480971700.5 1480971704.46
32_test_request_block_specified_sequence_number 1480971704.53 1480971708.6
33_test_schedule_block 1480971708.77 1480971711.54
34_test_schedule_block_invalid_candidate 1480971711.61 1480971712.96
35_test_decoding_crawl_request_wrong_size 1480971713.03 1480971713.04
36_test_decoding_crawl_response_wrong_size 1480971713.26 1480971713.27
37_test_decoding_signature_wrong_size 1480971713.49 1480971713.5
38_test_encoding_decoding_crawl_request 1480971713.72 1480971713.73
39_test_encoding_decoding_crawl_request_empty 1480971713.95 1480971713.95
40_test_encoding_decoding_crawl_response 1480971714.17 1480971714.18
41_test_encoding_decoding_signature 1480971714.4 1480971714.41
42_test_encoding_decoding_signature_big_number 1480971714.63 1480971714.64
43_test_encoding_decoding_signature_requester 1480971714.86 1480971714.87
44_test_split_function 1480971715.09 1480971715.1
45_test_add_block 1480971715.32 1480971715.35
46_test_add_two_blocks 1480971715.57 1480971715.59
47_test_contains_block_id_negative 1480971715.81 1480971715.83
48_test_contains_block_id_positive 1480971716.05 1480971716.07
49_test_database_create 1480971716.29 1480971716.32
50_test_database_no_downgrade 1480971716.54 1480971716.56
51_test_database_upgrade 1480971716.79 1480971716.81
52_test_get_block_non_existing 1480971717.03 1480971717.05
53_test_get_by_hash 1480971717.27 1480971717.29
